"","upi_bank","cvol_mn","cval_cr","vol_mn","val_cr","month"
"1","Airtel Payments Bank Apps",9.04,2248.49,15.12,5732.09,"Dec"
"2","Airtel Payments Bank Apps",8.41,1923.95,15.9,5554.63,"Nov"
"3","Airtel Payments Bank Apps",7.6,1491.34,14.31,4746.79,"Oct"
"4","Airtel Payments Bank Apps",6.91,1520.92,11.52,3759.12,"Sep"
"5","Airtel Payments Bank Apps",6.14,1396.65,9.31,2941.88,"Aug"
"6","Airtel Payments Bank Apps",5.79,1534.21,7.36,2342.76,"Jul"
"7","Airtel Payments Bank Apps",5.06,1323.26,6.69,2821.94,"Jun"
"8","Airtel Payments Bank Apps",4.06,429.12,4.06,429.12,"May"
"9","Airtel Payments Bank Apps",3.53,363.66,14.7,11172.43,"Apr"
"10","Airtel Payments Bank Apps",3.79,381.74,3.79,381.74,"Mar"
"11","Airtel Payments Bank Apps",3.33,348.7,3.33,348.7,"Feb"
"12","Airtel Payments Bank Apps",3.71,355.77,3.71,355.77,"Jan"
"13","Amazon Pay",76.18,6641.62,76.18,6641.62,"Dec"
"14","Amazon Pay",71.04,6041.96,71.04,6041.96,"Nov"
"15","Amazon Pay",68.82,6286.6,68.82,6286.6,"Oct"
"16","Amazon Pay",62.9,5267.79,62.9,5267.79,"Sep"
"17","Amazon Pay",60.67,5297.16,60.67,5297.16,"Aug"
"18","Amazon Pay",62.83,5223.57,62.83,5223.57,"Jul"
"19","Amazon Pay",51.34,4814.74,51.34,4814.74,"Jun"
"20","Amazon Pay",58.35,4782.59,58.35,4782.59,"May"
"21","Amazon Pay",49.12,4272.47,49.12,4272.47,"Apr"
"22","Amazon Pay",52.38,4457.47,52.38,4457.47,"Mar"
"23","Amazon Pay",44.22,3831.99,44.22,3831.99,"Feb"
"24","Amazon Pay",46.3,4044.38,46.3,4044.38,"Jan"
"25","AU Small Finance Bank App",0.21,76.22,0.21,76.22,"Dec"
"26","AU Small Finance Bank App",0.17,67.04,0.17,67.04,"Nov"
"27","AU Small Finance Bank App",0.16,62.15,0.16,62.15,"Oct"
"28","AU Small Finance Bank App",0.13,46.49,0.13,46.49,"Sep"
"29","AU Small Finance Bank App",0.1,38.53,0.1,38.53,"Aug"
"30","AU Small Finance Bank App",0.08,33.12,0.08,33.12,"Jul"
"31","AU Small Finance Bank App",0.05,25.43,0.05,25.43,"Jun"
"32","AU Small Finance Bank App",0.04,20.29,0.04,20.29,"May"
"33","AU Small Finance Bank App",0.04,20.23,0.04,20.23,"Apr"
"34","AU Small Finance Bank App",0.04,21.33,0.04,21.33,"Mar"
"35","AU Small Finance Bank App",0.03,15.48,0.03,15.48,"Feb"
"36","AU Small Finance Bank App",0.02,12.28,0.02,12.28,"Jan"
"37","Axis Bank Apps",6.63,916.58,59.85,957.37,"Dec"
"38","Axis Bank Apps",6.71,875.09,70.83,920.76,"Nov"
"39","Axis Bank Apps",8.4,963.14,69.28,1005.7,"Oct"
"40","Axis Bank Apps",7.37,788.51,59.13,832.73,"Sep"
"41","Axis Bank Apps",10.11,890.5,87.49,959.73,"Aug"
"42","Axis Bank Apps",10.08,891.26,74.13,941.35,"Jul"
"43","Axis Bank Apps",9.77,822.59,61.92,857.05,"Jun"
"44","Axis Bank Apps",10.27,769.07,68.9,806.31,"May"
"45","Axis Bank Apps",9.72,697.87,80.52,747.46,"Apr"
"46","Axis Bank Apps",8.56,704.6,72.87,748.91,"Mar"
"47","Axis Bank Apps",6.72,604.08,64.74,648.47,"Feb"
"48","Axis Bank Apps",5.23,560.7,71.96,618.44,"Jan"
"49","Bajaj Finserv",0.13,7.08,0.13,7.08,"Dec"
"50","Bajaj Finserv",0.06,4.1,0.06,4.1,"Nov"
"51","Bajaj Finserv",0.06,4.3,0.06,4.3,"Oct"
"52","Bajaj Finserv",0.04,3.03,0.04,3.03,"Sep"
"53","Bajaj Finserv",0.04,2.85,0.04,2.85,"Aug"
"54","Bajaj Finserv",0.02,1.55,0.02,1.55,"Jul"
"55","Bajaj Finserv",0.01,1.05,0.01,1.05,"Jun"
"56","Bajaj Finserv",0.01,0.77,0.01,0.77,"May"
"57","Bajaj Finserv",0.01,0.96,0.01,0.96,"Apr"
"58","Bajaj Finserv",0.01,1.02,0.01,1.02,"Mar"
"59","Bajaj Finserv",0.01,1.03,0.01,1.03,"Feb"
"60","Bajaj Finserv",0.01,0.99,0.01,0.99,"Jan"
"61","Bank of Baroda Apps",0.75,333.91,0.75,333.91,"Dec"
"62","Bank of Baroda Apps",0.75,329.76,0.75,329.77,"Nov"
"63","Bank of Baroda Apps",0.8,344.85,0.8,344.85,"Oct"
"64","Bank of Baroda Apps",0.73,293.05,0.73,293.05,"Sep"
"65","Bank of Baroda Apps",0.75,302.05,0.75,302.06,"Aug"
"66","Bank of Baroda Apps",0.67,284.98,0.67,284.99,"Jul"
"67","Bank of Baroda Apps",0.6,265.38,0.6,265.38,"Jun"
"68","Bank of Baroda Apps",0.54,230.89,0.54,230.89,"May"
"69","Bank of Baroda Apps",0.56,238.5,0.56,238.5,"Apr"
"70","Bank of Baroda Apps",0.78,294.28,0.78,294.28,"Mar"
"71","Bank of Baroda Apps",0.66,256.49,0.66,256.49,"Feb"
"72","Bank of Baroda Apps",0.75,293.25,0.75,293.25,"Jan"
"73","Bank of Maharashtra App",0.05,11.52,0.05,11.52,"Dec"
"74","Bank of Maharashtra App",0.04,10.84,0.04,10.84,"Nov"
"75","Bank of Maharashtra App",0.04,10.5,0.04,10.5,"Oct"
"76","Bank of Maharashtra App",0.04,7.8,0.04,7.8,"Sep"
"77","Bank of Maharashtra App",0.04,7.76,0.04,7.76,"Aug"
"78","Bank of Maharashtra App",0.03,7.27,0.03,7.27,"Jul"
"79","Bank of Maharashtra App",0.03,6.82,0.03,6.82,"Jun"
"80","Bank of Maharashtra App",0.02,6.18,0.02,6.18,"May"
"81","Bank of Maharashtra App",0.02,6.05,0.02,6.05,"Apr"
"82","Bank of Maharashtra App",0.03,6.73,0.03,6.73,"Mar"
"83","Bank of Maharashtra App",0.02,5.73,0.02,5.73,"Feb"
"84","Bank of Maharashtra App",0.02,6.37,0.02,6.37,"Jan"
"85","BHIM",27.12,8831.67,27.12,8831.67,"Dec"
"86","BHIM",25.23,8237.22,25.23,8237.22,"Nov"
"87","BHIM",27.27,8513.82,27.27,8513.82,"Oct"
"88","BHIM",25.36,7538.58,25.36,7538.58,"Sep"
"89","BHIM",26.33,8063.93,26.33,8063.93,"Aug"
"90","BHIM",23.76,7442.86,23.76,7442.86,"Jul"
"91","BHIM",22.84,7319.77,22.84,7319.77,"Jun"
"92","BHIM",21.02,6776.2,21.02,6776.2,"May"
"93","BHIM",22.26,6886.78,22.26,6886.78,"Apr"
"94","BHIM",24.42,7653.21,24.42,7653.21,"Mar"
"95","BHIM",20.44,6379.91,20.44,6379.91,"Feb"
"96","BHIM",23.38,7462.94,23.38,7462.94,"Jan"
"97","Canara Bank App",0.25,90.72,0.25,90.72,"Dec"
"98","Canara Bank App",0.21,78.32,0.21,78.32,"Nov"
"99","Canara Bank App",0.21,77.06,0.21,77.06,"Oct"
"100","Canara Bank App",0.16,51.88,0.16,51.88,"Sep"
"101","Canara Bank App",0.14,56.23,0.14,56.23,"Aug"
"102","Canara Bank App",0.11,55.83,0.11,55.83,"Jul"
"103","Canara Bank App",0.1,52.64,0.1,52.64,"Jun"
"104","Canara Bank App",0.09,45.92,0.09,45.92,"May"
"105","Canara Bank App",0.09,43.87,0.09,43.87,"Apr"
"106","Canara Bank App",0.1,47.87,0.1,47.87,"Mar"
"107","Canara Bank App",0.08,37.39,0.08,37.39,"Feb"
"108","Canara Bank App",0.09,40.52,0.09,40.52,"Jan"
"109","Central Bank of India App",0.13,46.47,0.13,46.47,"Dec"
"110","Central Bank of India App",0.11,43.57,0.11,43.57,"Nov"
"111","Central Bank of India App",0.12,45.48,0.12,45.48,"Oct"
"112","Central Bank of India App",0.13,47.35,0.13,47.35,"Sep"
"113","Central Bank of India App",0.13,47.83,0.13,47.83,"Aug"
"114","Central Bank of India App",0.12,46.71,0.12,46.71,"Jul"
"115","Central Bank of India App",0.11,45.3,0.11,45.3,"Jun"
"116","Central Bank of India App",0.1,42.18,0.1,42.18,"May"
"117","Central Bank of India App",0.11,41.58,0.11,41.58,"Apr"
"118","Central Bank of India App",0.12,46.03,0.12,46.03,"Mar"
"119","Central Bank of India App",0.1,39.78,0.1,39.78,"Feb"
"120","Central Bank of India App",0.11,40.45,0.11,40.45,"Jan"
"121","Citi Bank App",0.09,76.94,0.09,76.94,"Dec"
"122","Citi Bank App",0.09,77.41,0.09,77.41,"Nov"
"123","Citi Bank App",0.11,81.21,0.11,81.21,"Oct"
"124","Citi Bank App",0.12,68.42,0.12,68.42,"Sep"
"125","Citi Bank App",0.09,72.04,0.09,72.04,"Aug"
"126","Citi Bank App",0.09,80.39,0.09,80.39,"Jul"
"127","Citi Bank App",0.08,75.09,0.08,75.09,"Jun"
"128","Citi Bank App",0.08,70.14,0.08,70.14,"May"
"129","Citi Bank App",0.08,68.17,0.08,68.17,"Apr"
"130","Citi Bank App",0.1,71.02,0.1,71.02,"Mar"
"131","Citi Bank App",0.1,64.89,0.1,64.89,"Feb"
"132","Citi Bank App",0.09,71.3,0.09,71.3,"Jan"
"133","Cointab",0.94,144.16,0.94,144.16,"Dec"
"134","Cointab",0.64,112.28,0.64,112.28,"Nov"
"135","Cointab",0.45,84.71,0.45,84.71,"Oct"
"136","Cointab",0.34,69.81,0.34,69.81,"Sep"
"137","Cointab",0.28,63.77,0.28,63.77,"Aug"
"138","Cointab",0.17,49.15,0.17,49.15,"Jul"
"139","Cointab",0.12,40.95,0.12,40.95,"Jun"
"140","Cointab",0.1,35.72,0.1,35.72,"May"
"141","Cointab",0.11,40.84,0.11,40.84,"Apr"
"142","Cointab",0.12,45.71,0.12,45.71,"Mar"
"143","Cointab",0.12,41.56,0.12,41.56,"Feb"
"144","Cointab",0.13,43.7,0.13,43.7,"Jan"
"145","Cred",10.36,13817.16,10.36,13817.16,"Dec"
"146","Cred",9.03,12277.85,9.03,12277.85,"Nov"
